"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","mag","con","retend"
"202387",71,3,1,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",72,3,2,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",73,3,1,NA,FALSE,165,1,-250,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",74,3,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",75,3,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",76,3,2,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",77,3,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",78,3,1,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",79,3,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",80,3,1,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",81,4,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",82,4,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",83,4,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",84,4,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",85,4,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",86,4,3,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",87,4,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",88,4,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",89,4,2,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",90,4,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",91,4,1,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",92,4,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",93,4,1,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",94,4,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",95,4,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",96,4,2,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",97,4,1,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",98,4,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",99,4,1,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",100,4,3,NA,FALSE,165,1,-25,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",101,5,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",102,5,1,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",103,5,1,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",104,5,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",105,5,3,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",106,5,3,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",107,5,1,NA,FALSE,165,1,-250,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",108,5,1,NA,FALSE,165,1,-250,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",109,5,2,NA,FALSE,165,1,100,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",110,5,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",111,5,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",112,5,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",113,5,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",114,5,4,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",115,5,1,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",116,5,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",117,5,4,NA,FALSE,165,1,50,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",118,5,2,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",119,5,3,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202387",120,5,1,NA,FALSE,165,0,0,0.567326,4.15843,0.146827,-1.40284,0.4958335
"202389",1,0,4,1,TRUE,171,1,50,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",2,0,3,0,TRUE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",3,0,2,1,TRUE,171,1,100,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",4,0,3,1,TRUE,171,1,50,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",5,0,3,0,TRUE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",6,0,2,1,TRUE,171,1,100,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",7,0,2,0,TRUE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",8,0,4,1,TRUE,171,1,50,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",9,0,2,0,TRUE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",10,0,1,1,TRUE,171,1,100,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",11,0,4,1,TRUE,171,1,50,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",12,0,1,0,TRUE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",13,0,4,1,TRUE,171,1,50,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",14,0,3,1,TRUE,171,1,50,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",15,0,2,0,TRUE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",16,0,4,1,TRUE,171,1,50,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",17,0,3,1,TRUE,171,1,-25,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",18,0,1,1,TRUE,171,1,-250,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",19,0,1,1,TRUE,171,1,-250,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",20,0,1,0,TRUE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",21,1,2,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",22,1,1,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",23,1,1,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",24,1,2,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",25,1,1,NA,FALSE,171,1,-250,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",26,1,3,NA,FALSE,171,0,0,0.8749695,3.575575,0.148295,-1.276065,0.463978
"202389",27,1,2,NA,FALSE,171,1,100,0.8749695,3.575575,0.148295,-1.276065,0.463978
