"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","wgt_pun","wgt_rew","update"
"200002",112,5,3,NA,FALSE,155,1,0,0.263357226926725,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",113,5,1,NA,FALSE,155,0,0,0.264507579539798,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",114,5,1,NA,FALSE,155,1,-250,0.229315955032326,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",115,5,1,NA,FALSE,155,0,0,0.218695350147911,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",116,5,4,NA,FALSE,155,1,50,0.631034081568097,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",117,5,3,NA,FALSE,155,1,50,0.476473230693273,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",118,5,4,NA,FALSE,155,1,50,0.439469077564722,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",119,5,3,NA,FALSE,155,1,50,0.277036023248151,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200002",120,5,2,NA,FALSE,155,0,0,0.221261799732573,1.41608,0.05682035,0.518724,-1.199875,0.102069,0.2561795,0.06268555
"200006",1,0,4,1,TRUE,131,1,50,0.337894509043261,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",2,0,3,0,TRUE,131,0,0,0.168692188449309,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",3,0,2,1,TRUE,131,1,100,0.118042199824668,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",4,0,3,1,TRUE,131,1,50,0.233354905977287,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",5,0,3,0,TRUE,131,0,0,0.370832797096329,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",6,0,2,1,TRUE,131,1,100,0.141084308275345,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",7,0,2,0,TRUE,131,0,0,0.168430789611087,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",8,0,4,1,TRUE,131,1,50,1.21706586529559,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",9,0,2,0,TRUE,131,0,0,0.201618825860579,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",10,0,1,1,TRUE,131,1,-250,0.147962922158742,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",11,0,4,1,TRUE,131,1,50,1.82244531139057,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",12,0,1,0,TRUE,131,0,0,0.152927758827242,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",13,0,4,1,TRUE,131,1,50,2.3247235061956,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",14,0,3,1,TRUE,131,1,-25,1.15934766659956,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",15,0,2,0,TRUE,131,0,0,0.190968217643239,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",16,0,4,1,TRUE,131,1,50,0.398331577065779,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",17,0,3,1,TRUE,131,1,-25,2.0140652468322,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",18,0,1,1,TRUE,131,1,-250,0.204369938334166,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",19,0,1,1,TRUE,131,1,-250,0.227982020212287,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",20,0,1,0,TRUE,131,0,0,0.188824890751737,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",21,1,4,NA,FALSE,131,1,50,0.500362884332557,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",22,1,3,NA,FALSE,131,1,50,0.810719965708603,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
"200006",23,1,1,NA,FALSE,131,0,0,0.189249427116129,1.957775,0.0941218,0.5842175,-0.7448845,0.1010595,0.229195,0.05827545
