"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","decay"
"200001",42,2,3,NA,FALSE,179,0,0,0.293697278980272,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",43,2,3,NA,FALSE,179,1,-25,0.248609457499618,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",44,2,2,NA,FALSE,179,0,0,0.555474088727925,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",45,2,1,NA,FALSE,179,1,100,0.309933911068547,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",46,2,2,NA,FALSE,179,0,0,0.63807526127858,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",47,2,2,NA,FALSE,179,1,100,0.94926272125581,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",48,2,4,NA,FALSE,179,0,0,0.465050727202691,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",49,2,4,NA,FALSE,179,1,50,0.537618834692036,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",50,2,4,NA,FALSE,179,1,50,0.636314798864073,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",51,2,1,NA,FALSE,179,1,-250,0.882039607877029,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",52,2,1,NA,FALSE,179,0,0,0.455656274521902,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",53,2,4,NA,FALSE,179,0,0,0.948315329168006,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",54,2,2,NA,FALSE,179,1,100,0.423059492295937,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",55,2,1,NA,FALSE,179,0,0,1.26661226413467,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",56,2,3,NA,FALSE,179,0,0,0.328726851569175,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",57,2,4,NA,FALSE,179,1,50,0.890868349953292,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",58,2,2,NA,FALSE,179,1,100,0.292533657821265,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",59,2,2,NA,FALSE,179,1,-1150,0.212555616821433,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",60,2,1,NA,FALSE,179,1,-250,0.259082999934512,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",61,3,4,NA,FALSE,179,0,0,0.364838482669363,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",62,3,3,NA,FALSE,179,1,-25,0.433976865787781,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",63,3,4,NA,FALSE,179,1,50,0.366154053375658,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",64,3,1,NA,FALSE,179,1,100,0.394485988137801,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",65,3,2,NA,FALSE,179,0,0,0.693938122340141,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",66,3,4,NA,FALSE,179,1,50,0.602086737996475,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",67,3,1,NA,FALSE,179,1,-250,0.472282912137534,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",68,3,1,NA,FALSE,179,1,100,0.337981913950807,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",69,3,2,NA,FALSE,179,0,0,0.461768766902473,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",70,3,3,NA,FALSE,179,0,0,0.618977634031334,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",71,3,2,NA,FALSE,179,0,0,1.04927744398755,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
"200001",72,3,4,NA,FALSE,179,0,0,1.07455440743309,1.29005,0.1358295,0.5727345,-0.2336345,1.043035,0.9305095,0.416157
