"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","consistency","update_rate_mf","decay_factor","pos_val","neg_val","var_pe_update"
"202074",52,2,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",53,2,4,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",54,2,1,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",55,2,1,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",56,2,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",57,2,3,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",58,2,1,NA,FALSE,14,1,-250,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",59,2,3,NA,FALSE,14,1,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",60,2,4,NA,FALSE,14,1,-200,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",61,3,4,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",62,3,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",63,3,3,NA,FALSE,14,1,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",64,3,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",65,3,4,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",66,3,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",67,3,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",68,3,2,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",69,3,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",70,3,1,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",71,3,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",72,3,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",73,3,2,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",74,3,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",75,3,3,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",76,3,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",77,3,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",78,3,1,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",79,3,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",80,3,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",81,4,4,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",82,4,1,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",83,4,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",84,4,4,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",85,4,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",86,4,1,NA,FALSE,14,1,-250,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",87,4,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",88,4,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",89,4,4,NA,FALSE,14,1,-200,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",90,4,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",91,4,1,NA,FALSE,14,1,-250,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",92,4,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",93,4,4,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",94,4,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",95,4,1,NA,FALSE,14,1,-250,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",96,4,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",97,4,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",98,4,2,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",99,4,1,NA,FALSE,14,1,-250,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",100,4,4,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",101,5,3,NA,FALSE,14,1,-25,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",102,5,1,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",103,5,1,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",104,5,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",105,5,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",106,5,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",107,5,1,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",108,5,1,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",109,5,3,NA,FALSE,14,1,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",110,5,3,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",111,5,1,NA,FALSE,14,1,-250,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",112,5,1,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",113,5,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",114,5,1,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",115,5,1,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",116,5,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",117,5,1,NA,FALSE,14,1,-250,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",118,5,2,NA,FALSE,14,1,100,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",119,5,3,NA,FALSE,14,0,0,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202074",120,5,4,NA,FALSE,14,1,50,0.383235,0.386676,0.497686,3.32323,4.83902,0.365241
"202075",1,0,4,1,TRUE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",2,0,3,0,TRUE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",3,0,2,1,TRUE,46,1,100,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",4,0,3,1,TRUE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",5,0,3,0,TRUE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",6,0,2,1,TRUE,46,1,100,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",7,0,2,0,TRUE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",8,0,4,1,TRUE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",9,0,2,0,TRUE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",10,0,1,1,TRUE,46,1,100,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",11,0,4,1,TRUE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",12,0,1,0,TRUE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",13,0,4,1,TRUE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",14,0,3,1,TRUE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",15,0,2,0,TRUE,46,0,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",16,0,4,1,TRUE,46,1,50,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",17,0,3,1,TRUE,46,1,0,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
"202075",18,0,1,1,TRUE,46,1,-250,0.646855,0.454611,0.498311,3.212495,2.9786,0.2388735
