"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","retend"
"200002",107,5,2,NA,FALSE,110,0,0,0.80539859360277,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",108,5,4,NA,FALSE,110,1,50,0.236919945416369,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",109,5,1,NA,FALSE,110,0,0,0.235903046718637,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",110,5,4,NA,FALSE,110,0,0,0.263566912383626,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",111,5,2,NA,FALSE,110,1,100,0.236869230434271,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",112,5,4,NA,FALSE,110,0,0,0.320757074734894,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",113,5,2,NA,FALSE,110,1,100,0.186574211542789,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",114,5,3,NA,FALSE,110,1,0,0.559714994226787,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",115,5,2,NA,FALSE,110,0,0,0.672700582407121,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",116,5,3,NA,FALSE,110,1,0,1.13192437787032,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",117,5,4,NA,FALSE,110,1,50,0.486504968171161,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",118,5,3,NA,FALSE,110,0,0,0.264293183606941,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",119,5,3,NA,FALSE,110,1,0,0.251374312638139,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200002",120,5,1,NA,FALSE,110,1,-250,0.942528790856134,1.40623,0.0576446,0.5723045,-0.8509675,1.58578,1.68802,0.1711125,0.335942
"200005",1,0,4,1,TRUE,33,1,50,0.337736172076499,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",2,0,3,0,TRUE,33,0,0,0.292634168849989,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",3,0,2,1,TRUE,33,1,100,0.697777370975766,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",4,0,3,1,TRUE,33,1,50,0.512937771063449,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
"200005",5,0,3,0,TRUE,33,0,0,0.998323328206578,1.410195,0.1928765,0.454317,0.0210653,0.749666,0.5126385,0.107429,0.861824
