"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","drift_A","drift_B","drift_C","drift_D"
"0001",27,2,NA,FALSE,19,4,0.139201220253017,0,1.40738556233514,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",28,2,NA,FALSE,19,2,0.25,3.24579248024384,0.623494920504757,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",29,2,NA,FALSE,19,4,0.114547843614127,0,2.55870505337547,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",30,2,NA,FALSE,19,2,0.25,0,0.699864329800043,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",31,2,NA,FALSE,19,3,0.114436062530149,0.101346019818448,1.90484334965736,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",32,2,NA,FALSE,19,2,0.25,3.15722823055694,0.990822964582474,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",33,2,NA,FALSE,19,2,0.25,0,0.32571790937517,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",34,2,NA,FALSE,19,3,0.105729777889792,0.138536697311793,0.427182555798566,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",35,2,NA,FALSE,19,4,0.101624669029843,0,0.719323543550294,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",36,2,NA,FALSE,19,2,0.25,0,2.0064186939707,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",37,2,NA,FALSE,19,3,0.145762476429809,0,0.437760937716261,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",38,2,NA,FALSE,19,1,0.25,0.396892143471632,1.50474523188885,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",39,2,NA,FALSE,19,4,0.143442494946066,0,1.17170329395362,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",40,2,NA,FALSE,19,2,0.25,0,1.20132281079881,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",41,3,NA,FALSE,19,2,0.25,0,2.01405221986126,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",42,3,NA,FALSE,19,2,0.25,0,1.05278802135208,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",43,3,NA,FALSE,19,2,0.25,0,0.786618645744037,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",44,3,NA,FALSE,19,4,0.120410892530344,0,0.807222846593671,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",45,3,NA,FALSE,19,2,0.25,0,1.22023251557997,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",46,3,NA,FALSE,19,3,0.132941052608658,0,0.857049860581988,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",47,3,NA,FALSE,19,1,0.25,0.504173686087597,0.874482631858693,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",48,3,NA,FALSE,19,4,0.128328779933508,0,0.69072621698689,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",49,3,NA,FALSE,19,4,0.115473872993607,0,0.683278954010109,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",50,3,NA,FALSE,19,4,0.114246459421702,0.648977454681881,1.0583932389386,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",51,3,NA,FALSE,19,1,0.25,0,2.0241955619139,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",52,3,NA,FALSE,19,3,0.104459225537721,0.110764881654177,0.911746172754212,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",53,3,NA,FALSE,19,2,0.25,0,1.25114469651821,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",54,3,NA,FALSE,19,3,0.142372689431068,0.126493911282159,1.10061046525008,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",55,3,NA,FALSE,19,3,0.126338260353077,0.0972581342095509,0.719455340250125,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
"0001",56,3,NA,FALSE,19,3,0.117217503022403,0.140684282488655,1.90009483468754,1.669745,1.67314,0.149879,0.085993,0.3439815,0.794022,0.396769,0.539866
