"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","Arew","Apun","K","betaF","betaP"
"1",86,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",87,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",88,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",89,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",90,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",91,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",92,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",93,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",94,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",95,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",96,5,NA,FALSE,83,2,0.25,3.1973294717609,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",97,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",98,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",99,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"1",100,5,NA,FALSE,83,2,0.25,0,0.33208,0.3006665,0.626276,3.908735,4.264195
"10",1,1,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",2,1,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",3,1,NA,FALSE,164,1,0.25,0.541637573635671,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",4,1,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",5,1,NA,FALSE,164,1,0.25,0.384730257117189,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",6,1,NA,FALSE,164,2,0.25,3.11567108129384,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",7,1,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",8,1,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",9,1,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",10,1,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",11,1,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",12,1,NA,FALSE,164,1,0.25,0.651284403691534,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",13,1,NA,FALSE,164,3,0.132507322577294,0,0.110919,0.0206668,0.777979,1.38148,1.28148
