"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","update"
"200007",15,0,2,0,TRUE,16,0,0,0.369127552035912,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",16,0,4,1,TRUE,16,1,50,0.532688755818619,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",17,0,3,1,TRUE,16,1,0,0.48665886595661,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",18,0,1,1,TRUE,16,1,-250,0.451766548623402,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",19,0,1,1,TRUE,16,1,100,0.322679302110118,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",20,0,1,0,TRUE,16,0,0,0.476014770464962,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",21,1,4,NA,FALSE,16,1,50,0.62789508797432,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",22,1,3,NA,FALSE,16,1,50,1.03384544727194,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",23,1,2,NA,FALSE,16,1,100,0.386133903219723,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",24,1,2,NA,FALSE,16,1,100,0.654791258845112,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",25,1,3,NA,FALSE,16,0,0,0.686659997694135,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",26,1,2,NA,FALSE,16,1,100,0.57368569689592,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",27,1,4,NA,FALSE,16,1,50,0.357793266308993,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",28,1,2,NA,FALSE,16,1,100,0.565851853905942,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",29,1,1,NA,FALSE,16,0,0,0.532807652955886,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",30,1,2,NA,FALSE,16,1,100,0.426045261827387,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",31,1,2,NA,FALSE,16,1,100,0.425613914080614,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",32,1,1,NA,FALSE,16,0,0,0.509526670722829,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",33,1,2,NA,FALSE,16,1,100,1.07136490380196,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
"200007",34,1,1,NA,FALSE,16,0,0,0.446294692203012,1.41955,0.2478055,0.4926435,-0.68546,3.31359,1.405005,0.1666225,0.07943135
