"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","RT","boundary","tau","beta","drift_con","gain","loss","mag","update","decay"
"200955",7,0,2,0,TRUE,148,0,0,0.180858198520357,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",8,0,4,1,TRUE,148,1,50,0.17924234276773,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",9,0,2,0,TRUE,148,0,0,0.207209139651998,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",10,0,1,1,TRUE,148,1,-250,0.961895845218276,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",11,0,4,1,TRUE,148,1,50,0.274876314546433,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",12,0,1,0,TRUE,148,0,0,0.337838831290931,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",13,0,4,1,TRUE,148,1,50,0.423020588421242,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",14,0,3,1,TRUE,148,1,50,0.443258655260798,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",15,0,2,0,TRUE,148,0,0,0.812389837067681,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",16,0,4,1,TRUE,148,1,50,0.199624640689675,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",17,0,3,1,TRUE,148,1,50,0.219403969155647,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",18,0,1,1,TRUE,148,1,100,0.968308531518033,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",19,0,1,1,TRUE,148,1,100,1.780954324185,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",20,0,1,0,TRUE,148,0,0,0.472391461656832,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",21,1,4,NA,FALSE,148,1,50,0.138947543449106,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",22,1,4,NA,FALSE,148,1,-200,0.195560464421576,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",23,1,3,NA,FALSE,148,1,-25,0.31630991676792,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",24,1,2,NA,FALSE,148,0,0,0.842838963347953,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",25,1,2,NA,FALSE,148,1,100,0.281474723905758,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",26,1,1,NA,FALSE,148,1,100,1.07331022786997,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",27,1,3,NA,FALSE,148,1,50,0.808872182786382,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",28,1,2,NA,FALSE,148,1,100,0.454646894725945,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",29,1,3,NA,FALSE,148,1,-25,0.243114066104762,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",30,1,3,NA,FALSE,148,0,0,1.78263441802833,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
"200955",31,1,3,NA,FALSE,148,0,0,0.217756879374977,1.49846,0.08901415,0.6463205,-0.3934575,2.17602,4.755835,0.242492,0.16028,0.1186015
