"idx","trial","block","deck_shown","forced_choice","is_training","param_idx","choice","outcome","gain","loss","con","retend"
"200004",52,2,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",53,2,3,NA,FALSE,87,1,0,0.210888,0.5775975,-0.350452,0.926235
"200004",54,2,1,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",55,2,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",56,2,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",57,2,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",58,2,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",59,2,1,NA,FALSE,87,1,-250,0.210888,0.5775975,-0.350452,0.926235
"200004",60,2,2,NA,FALSE,87,1,-1150,0.210888,0.5775975,-0.350452,0.926235
"200004",61,3,3,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",62,3,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",63,3,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",64,3,1,NA,FALSE,87,1,-250,0.210888,0.5775975,-0.350452,0.926235
"200004",65,3,3,NA,FALSE,87,1,-25,0.210888,0.5775975,-0.350452,0.926235
"200004",66,3,1,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",67,3,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",68,3,3,NA,FALSE,87,1,-25,0.210888,0.5775975,-0.350452,0.926235
"200004",69,3,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
"200004",70,3,1,NA,FALSE,87,1,-250,0.210888,0.5775975,-0.350452,0.926235
"200004",71,3,3,NA,FALSE,87,1,0,0.210888,0.5775975,-0.350452,0.926235
"200004",72,3,1,NA,FALSE,87,1,-250,0.210888,0.5775975,-0.350452,0.926235
"200004",73,3,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",74,3,4,NA,FALSE,87,1,50,0.210888,0.5775975,-0.350452,0.926235
"200004",75,3,1,NA,FALSE,87,0,0,0.210888,0.5775975,-0.350452,0.926235
"200004",76,3,2,NA,FALSE,87,1,100,0.210888,0.5775975,-0.350452,0.926235
