"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","decay","explore_alpha","explore_bonus"
"0002",22,2,NA,FALSE,35,1,0.25,0.486988328734878,0.301941994989156,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",23,2,NA,FALSE,35,2,0.25,0,0.279869698279539,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",24,2,NA,FALSE,35,2,0.25,3.07504149648594,0.792288844679321,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",25,2,NA,FALSE,35,1,0.25,0,0.602642701326522,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",26,2,NA,FALSE,35,1,0.25,0.896637291554362,0.404365368917807,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",27,2,NA,FALSE,35,2,0.25,3.0927093642531,0.525891783428701,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",28,2,NA,FALSE,35,1,0.25,0.469908723549452,0.276324496397897,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",29,2,NA,FALSE,35,2,0.25,3.11429014237365,0.592044216210393,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",30,2,NA,FALSE,35,1,0.25,0,0.344659519515155,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",31,2,NA,FALSE,35,1,0.25,0,0.24603406523944,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",32,2,NA,FALSE,35,1,0.25,0.406679074605927,0.414709726559808,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",33,2,NA,FALSE,35,3,0.147308182995766,0,0.720798402962656,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",34,2,NA,FALSE,35,3,0.12322274192702,0,0.340269046128037,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",35,2,NA,FALSE,35,1,0.25,0.894168671837542,0.671449631977685,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",36,2,NA,FALSE,35,1,0.25,0,0.343750915929517,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",37,2,NA,FALSE,35,1,0.25,0,0.899011477872228,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",38,2,NA,FALSE,35,1,0.25,0.445887329569086,0.865363246813749,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",39,2,NA,FALSE,35,4,0.104124116851017,0,0.68749461824909,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",40,2,NA,FALSE,35,2,0.25,0,0.93781264921589,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",41,3,NA,FALSE,35,1,0.25,0.55861072310945,0.524989841628435,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
"0002",42,3,NA,FALSE,35,1,0.25,0,0.295561713452164,1.927795,1.218545,0.05928445,0.0535046,0.0970686,1.089095,0.2476215,0.956962,0.481688,0.4962315,0.08711625
