"parameter","subject_id","true_value","recovered_value","parameter_type","error","relative_error","model"
"update",80,0.07740935,0.342701,"group",0.26529165,3.42712669722714,"ev"
"con",81,0.5582175,0.692793,"group",0.1345755,0.241080761531124,"ev"
"wgt_pun",81,0.2840445,0.30058,"group",0.0165354999999999,0.0582144699158052,"ev"
"wgt_rew",81,0.4630955,0.489783,"group",0.0266875,0.0576285021124152,"ev"
"update",81,0.2354615,0.401754,"group",0.1662925,0.706240723005672,"ev"
"con",82,4.21568,3.6842,"group",-0.531480000000001,-0.126072187642326,"ev"
"wgt_pun",82,0.5075645,0.0531114,"group",-0.4544531,-0.895360294110404,"ev"
"wgt_rew",82,0.670737,0.739754,"group",0.069017,0.102897260774342,"ev"
"update",82,0.535827,0.0214482,"group",-0.5143788,-0.95997178193708,"ev"
"con",83,0.4222575,0.5368475,"group",0.11459,0.271374694351195,"ev"
"wgt_pun",83,0.266335,0.2974465,"group",0.0311115,0.116813411680778,"ev"
